ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
189;Rind, Filet, medium gebraten (ohne Zustatz von Fett und Salz);128;2;0;27,7;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;;;
190;Rind, Filet, roh;105;2;0;21,9;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;;;
191;Rinderhack, gebraten (ohne Zusatz von Fett und Salz);211;8,9;0;32,6;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;;;
192;Rinderhack, roh;154;7,5;0;21,6;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;6,3;0,5;3
193;Rosine, getrocknet;321;0,9;73,2;3;pro 100g essbarer Anteil;Früchte/Früchte getrocknet;;;;
194;Rösti (Fertig-Rösti), ungebraten;150;5,7;20,7;2,6;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
195;Rote Zwiebel, roh;28;0,2;4,9;1,3;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,2;4,8;-5
196;Rucola, roh;28;0,7;2,1;2,6;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
197;Rührei, zubereitet;147;10,8;1,3;11,2;pro 100g essbarer Anteil;Gerichte/Sonstige salzige/rezente Gerichte;;;;
198;Salami;422;37,1;3;22;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Rohwurstware;;11,3;1;24
199;Salatsauce italienisch, hausgemacht (mit Olivenöl);464;50,7;1,4;0,4;pro 100 ml;Fette und Öle/Salatsaucen;1,1;;;
200;Salatsauce, italienisch;309;32,1;4,9;0,1;pro 100g essbarer Anteil;Fette und Öle/Salatsaucen;1,1;;;
201;Salz, Meersalz, Fleur de sel;0;0;0;0;pro 100g essbarer Anteil;Verschiedenes/Salz, Gewürze und Aromen;;;;
202;Sandwich (Baguette) mit Mozzarella;163;6,2;20,1;6;pro 100g essbarer Anteil;Gerichte/Sandwiches;;;;
203;Sandwich (Baguette) mit Schinken;131;3,7;17,3;6,3;pro 100g essbarer Anteil;Gerichte/Sandwiches;;;;
204;Sauerkraut, in Essig eingelegt;19;0,3;1,7;1,3;pro 100g essbarer Anteil;Gemüse/Gemüse gekocht (inkl. Konserven);;;;
